Final URL,Repository Path,Bytes,KB,Format,Width,Height,Git Tracked,Reference Location
https://www.qiuxiaomiao.com/assets/operations/campus-live-03-w480.webp,public/assets/operations/campus-live-03-w480.webp,7026,6.9,webp,480,237,yes,generated responsive candidate for /assets/operations/campus-live-03.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-03-w960.webp,public/assets/operations/campus-live-03-w960.webp,20100,19.6,webp,960,474,yes,generated responsive candidate for /assets/operations/campus-live-03.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-03.jpg,public/assets/operations/campus-live-03.jpg,87886,85.8,jpeg,1891,934,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-03.webp,public/assets/operations/campus-live-03.webp,62520,61.1,webp,1891,934,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-04-w1600.webp,public/assets/operations/campus-live-04-w1600.webp,41354,40.4,webp,1600,807,yes,generated responsive candidate for /assets/operations/campus-live-04.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-04-w480.webp,public/assets/operations/campus-live-04-w480.webp,7658,7.5,webp,480,242,yes,generated responsive candidate for /assets/operations/campus-live-04.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-04-w960.webp,public/assets/operations/campus-live-04-w960.webp,21554,21.0,webp,960,484,yes,generated responsive candidate for /assets/operations/campus-live-04.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-04.jpg,public/assets/operations/campus-live-04.jpg,91648,89.5,jpeg,1885,951,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-04.webp,public/assets/operations/campus-live-04.webp,64248,62.7,webp,1885,951,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-05-w1600.webp,public/assets/operations/campus-live-05-w1600.webp,41190,40.2,webp,1600,800,yes,generated responsive candidate for /assets/operations/campus-live-05.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-05-w480.webp,public/assets/operations/campus-live-05-w480.webp,7360,7.2,webp,480,240,yes,generated responsive candidate for /assets/operations/campus-live-05.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-05-w960.webp,public/assets/operations/campus-live-05-w960.webp,20942,20.5,webp,960,480,yes,generated responsive candidate for /assets/operations/campus-live-05.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-05.jpg,public/assets/operations/campus-live-05.jpg,90578,88.5,jpeg,1902,951,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-05.webp,public/assets/operations/campus-live-05.webp,64424,62.9,webp,1902,951,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-06-w1600.webp,public/assets/operations/campus-live-06-w1600.webp,41196,40.2,webp,1600,814,yes,generated responsive candidate for /assets/operations/campus-live-06.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-06-w480.webp,public/assets/operations/campus-live-06-w480.webp,7246,7.1,webp,480,244,yes,generated responsive candidate for /assets/operations/campus-live-06.webp
